Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	0.693151	0.743276s	0.001
2	1.09179	0.637626	1.09147s	0.001
3	0.934894	0.621585	0.700267s	0.001
4	0.84489	0.645215	0.675825s	0.001
5	0.796959	0.681732	0.671699s	0.001
6	0.877525	0.733474	0.689896s	0.001
7	0.78221	0.77054	0.776281s	0.001
8	0.884331	0.800256	0.688502s	0.001
9	0.666729	0.82111	0.687163s	0.001
10	0.852491	0.859185	0.693694s	0.001
11	0.92685	0.910292	0.754174s	0.001
12	0.863676	0.9365	0.663545s	0.001
13	0.823405	0.966418	0.665539s	0.001
14	0.777369	0.961758	0.681523s	0.001
15	0.818332	0.946182	0.669088s	0.001
16	0.808385	0.917942	0.668742s	0.001
17	0.743774	0.913823	0.682018s	0.001
18	0.752659	0.958861	0.678572s	0.001
19	0.715316	0.990437	0.664443s	0.001
20	0.785117	0.977306	0.666755s	0.001
