Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	0.698313	0.168889s	0.001
2	0.852468	0.664156	0.604028s	0.001
3	0.477336	0.631828	0.190892s	0.001
4	0.348133	0.6203	0.192241s	0.001
5	0.323038	0.604027	0.18768s	0.001
6	0.323212	0.597232	0.191614s	0.001
7	0.294804	0.651174	0.191071s	0.001
8	0.20959	0.745253	0.188068s	0.001
9	0.275161	0.800898	0.187596s	0.001
10	0.219285	0.893099	0.187882s	0.001
11	0.236295	1.04135	0.186753s	0.001
12	0.242898	1.14572	0.191145s	0.001
13	0.231726	1.20925	0.186024s	0.001
14	0.211538	1.2724	0.191638s	0.001
15	0.215279	1.41971	0.187072s	0.001
16	0.191378	1.61713	0.195996s	0.001
17	0.174132	1.7936	0.185759s	0.001
18	0.185394	1.97192	0.187852s	0.001
19	0.178122	2.14868	0.185476s	0.001
20	0.150367	2.2331	0.204947s	0.001
