Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	0.703655	0.404328s	0.001
2	0.857929	0.663785	1.33942s	0.001
3	0.779548	0.631817	0.983252s	0.001
4	0.69815	0.604611	0.960798s	0.001
5	0.585291	0.591756	0.964175s	0.001
6	0.432058	0.603419	0.975346s	0.001
7	0.393641	0.639266	1.10092s	0.001
8	0.458106	0.696431	0.993778s	0.001
9	0.352943	0.749068	1.47414s	0.001
10	0.39199	0.81127	1.09843s	0.001
11	0.423188	0.889833	0.957599s	0.001
12	0.347372	0.981853	0.967312s	0.001
13	0.274729	1.06746	0.948505s	0.001
14	0.336301	1.14693	0.968555s	0.001
15	0.359842	1.17721	1.12674s	0.001
16	0.311684	1.22134	1.07135s	0.001
17	0.337778	1.33194	0.960006s	0.001
18	0.301855	1.3803	0.959676s	0.001
19	0.247262	1.38583	0.963439s	0.001
20	0.308485	1.31691	0.966496s	0.001
